t,score,threshold,alert,y_true,switching,err_phys,err_cyber,err_event,attack_type
251,0.0,1.6816989055870812,0,0,0,0.6937022805213928,0.8061701059341431,0.002272282959893346,none
252,0.0,1.6816989055870812,0,0,0,0.6327171325683594,0.6805768013000488,0.0026091861072927713,none
253,0.2692602930782311,1.6816989055870812,0,0,0,0.7633850574493408,0.9361914992332458,0.0029722892213612795,none
254,1.284593514756021,1.6816989055870812,0,0,0,0.7782799601554871,1.1135036945343018,0.0025721609126776457,none
255,0.9091470818924862,1.6816989055870812,0,0,0,0.8124700784683228,1.0361168384552002,0.002242966089397669,none
256,0.46262929089427596,1.6816989055870812,0,0,0,0.8380246162414551,0.9485597014427185,0.0027659100014716387,none
257,0.0,1.6816989055870812,0,0,0,0.7265099287033081,0.8986440896987915,0.0024503199383616447,none
258,1.474260983524924,1.6816989055870812,0,0,0,0.7599202990531921,1.1529461145401,0.0018463822780176997,none
259,0.17188207377501263,1.6816989055870812,0,0,0,0.878861129283905,0.6334781646728516,0.0025058125611394644,none
260,0.7654080352093998,1.6816989055870812,0,0,0,0.8362777829170227,1.0032763481140137,0.002785885939374566,none
261,0.6029499845981663,1.6816989055870812,0,0,0,0.9045535922050476,0.953840434551239,0.002921139122918248,none
262,0.7884027086745524,1.6816989055870812,0,0,0,0.9313689470291138,0.9790293574333191,0.003401342546567321,none
263,1.3891695855286397,1.6816989055870812,0,0,0,0.872725784778595,1.1040705442428589,0.002495931461453438,none
264,0.12692245356995682,1.6816989055870812,0,0,0,0.8320023417472839,0.7434075474739075,0.0023275238927453756,none
265,0.30987582940077874,1.6816989055870812,0,0,0,0.8262913227081299,0.92472243309021,0.0024885989259928465,none
266,0.042568597004003304,1.6816989055870812,0,0,0,0.7748304009437561,0.7793756127357483,0.002508701290935278,none
267,0.24837335166856989,1.6816989055870812,0,0,0,0.889045000076294,0.8312641978263855,0.0023004943504929543,none
268,0.10206250304012393,1.6816989055870812,0,0,0,0.8159996271133423,0.7492037415504456,0.0026266220957040787,none
269,0.18943351178908102,1.6816989055870812,0,0,0,0.8019775152206421,0.9104076623916626,0.0026310966350138187,none
270,0.3443037021292312,1.6816989055870812,0,0,0,0.9506106376647949,0.8093167543411255,0.00236684363335371,none
271,0.06523357631046038,1.6816989055870812,0,0,0,0.7747855186462402,0.854654848575592,0.0029714147094637156,none
272,0.5515744936808553,1.6816989055870812,0,0,0,0.7515591382980347,0.9902595281600952,0.0026237049605697393,none
273,1.0194682929998462,1.6816989055870812,0,0,0,0.8783408403396606,1.0362205505371094,0.002524108160287142,none
274,0.19880500521055822,1.6816989055870812,0,0,0,0.8692508339881897,0.7757417559623718,0.0030756061896681786,none
275,0.2848499575637948,1.6816989055870812,0,0,0,0.9180636405944824,0.7916784286499023,0.00277130794711411,none
276,0.13731807761547793,1.6816989055870812,0,0,0,0.8165817260742188,0.8629115223884583,0.00291711138561368,none
277,0.46615200077226665,1.6816989055870812,0,0,0,0.8552108407020569,0.9440487623214722,0.00344559527002275,none
278,0.25815324142325785,1.6816989055870812,0,0,0,0.7192922830581665,0.9459047913551331,0.0026270723901689053,none
279,0.24001691007818335,1.6816989055870812,0,0,0,0.8786177039146423,0.8607836365699768,0.0030936533585190773,none
